 Output file produced by H2NEWD.FOR
100 eV, 300 K, 0.7 ISO, 2e13 new self-abs                   
 .13351390D+04  .39393E-06  .46641E-17  6( 0, 7)R C-X  .17295E-03
 .13982880D+04  .42043E-06  .47531E-17  8( 0, 8)P C-X  .15482E-03
 .13796260D+04  .19813E-06  .22702E-17  6( 0, 8)R C-X  .92882E-04
 .14397330D+04  .77573E-08  .85174E-19  8( 0, 9)P C-X  .30284E-05
 .14219310D+04  .16376E-06  .18206E-17  6( 0, 9)R C-X  .81549E-04
 .14773740D+04  .41280E-06  .44170E-17  8( 0,10)P C-X  .16969E-03
 .14609340D+04  .37706E-06  .40799E-17  6( 0,10)R C-X  .19820E-03
 .15096200D+04  .22180E-06  .23225E-17  8( 0,11)P C-X  .95199E-04
 .14952250D+04  .10400E-07  .10995E-18  6( 0,11)R C-X  .57267E-05
 .15344460D+04  .59644E-07  .61446E-18  8( 0,12)P C-X  .26449E-04
 .15230280D+04  .22522E-06  .23376E-17  6( 0,12)R C-X  .12867E-03
 .15420420D+04  .41014E-07  .42044E-18  6( 0,13)R C-X  .24020E-04
 .10392960D+04  .80830E-05  .12294E-15  9( 0, 0)P C-X  .15900E-01
 .10200600D+04  .33014E-05  .51162E-16  7( 0, 0)R C-X  .79243E-02
 .10832750D+04  .18007E-04  .26277E-15  9( 0, 1)P C-X  .38482E-01
 .10634500D+04  .10231E-04  .15208E-15  7( 0, 1)R C-X  .26691E-01
 .11282080D+04  .14212E-04  .19912E-15  9( 0, 2)P C-X  .32943E-01
 .11078450D+04  .13302E-04  .18981E-15  7( 0, 2)R C-X  .37660E-01
 .11738860D+04  .54367E-05  .73213E-16  9( 0, 3)P C-X  .13644E-01
 .11530630D+04  .85235E-05  .11685E-15  7( 0, 3)R C-X  .26141E-01
 .12200400D+04  .14089E-05  .18255E-16  9( 0, 4)P C-X  .38193E-02
 .11988650D+04  .22947E-05  .30257E-16  7( 0, 4)R C-X  .76080E-02
 .12663070D+04  .26711E-06  .33345E-17  9( 0, 5)P C-X  .78004E-03
 .12449260D+04  .15872E-06  .20154E-17  7( 0, 5)R C-X  .56745E-03
 .13122100D+04  .41801E-09  .50357E-20  9( 0, 6)P C-X  .13108E-05
 .12908220D+04  .99148E-08  .12142E-18  7( 0, 6)R C-X  .38109E-04
 .13571290D+04  .17982E-07  .20945E-18  9( 0, 7)P C-X  .60315E-04
 .13359960D+04  .24403E-07  .28874E-18  7( 0, 7)R C-X  .10048E-03
 .14002680D+04  .74800E-08  .84444E-19  9( 0, 8)P C-X  .26710E-04
 .13797320D+04  .27773E-09  .31820E-20  7( 0, 8)R C-X  .12196E-05
 .14406090D+04  .67189E-08  .73727E-19  9( 0, 9)P C-X  .25394E-04
 .14211240D+04  .16931E-07  .18834E-18  7( 0, 9)R C-X  .78880E-04
 .14768520D+04  .17678E-07  .18922E-18  9( 0,10)P C-X  .70220E-04
 .14590120D+04  .79369E-08  .85994E-19  7( 0,10)R C-X  .38974E-04
 .15073330D+04  .33531E-08  .35165E-19  9( 0,11)P C-X  .13874E-04
 .14919380D+04  .14173E-08  .15017E-19  7( 0,11)R C-X  .72771E-05
 .15298390D+04  .94890E-08  .98051E-19  9( 0,12)P C-X  .40444E-04
 .15180410D+04  .16231E-07  .16902E-18  7( 0,12)R C-X  .86282E-04
 .15348220D+04  .32708E-08  .33688E-19  7( 0,13)R C-X  .17774E-04
 .10450530D+04  .52575E-07  .79527E-18 10( 0, 0)P C-X  .14537E-01
 .10238770D+04  .28433E-07  .43898E-18  8( 0, 0)R C-X  .93220E-02
 .10888980D+04  .13289E-06  .19292E-17 10( 0, 1)P C-X  .39892E-01
 .10671000D+04  .73294E-07  .10858E-17  8( 0, 1)R C-X  .26102E-01
 .11336290D+04  .11179E-06  .15588E-17 10( 0, 2)P C-X  .36371E-01
 .11112640D+04  .86484E-07  .12303E-17  8( 0, 2)R C-X  .33402E-01
 .11790270D+04  .38855E-07  .52095E-18 10( 0, 3)P C-X  .13675E-01
 .11561920D+04  .59344E-07  .81138E-18  8( 0, 3)R C-X  .24811E-01
 .12248110D+04  .78405E-08  .10119E-18 10( 0, 4)P C-X  .29779E-02
 .12016250D+04  .19752E-07  .25985E-18  8( 0, 4)R C-X  .89197E-02
 .12705910D+04  .20058E-08  .24955E-19 10( 0, 5)P C-X  .81984E-03
 .12472310D+04  .13814E-08  .17509E-19  8( 0, 5)R C-X  .67209E-03
 .13158700D+04  .12106E-09  .14543E-20 10( 0, 6)P C-X  .53069E-04
 .12925600D+04  .52915E-11  .64715E-22  8( 0, 6)R C-X  .27649E-05
 .13599960D+04  .24848E-09  .28882E-20 10( 0, 7)P C-X  .11636E-03
 .13370400D+04  .15281E-09  .18066E-20  8( 0, 7)R C-X  .85434E-04
 .14021330D+04  .41245E-12  .46501E-23 10( 0, 8)P C-X  .20530E-06
 .13799260D+04  .65868E-10  .75456E-21  8( 0, 8)R C-X  .39227E-04
 .14412090D+04  .19512E-09  .21401E-20 10( 0, 9)P C-X  .10261E-03
 .14202740D+04  .21148E-09  .23538E-20  8( 0, 9)R C-X  .13342E-03
 .14758610D+04  .12403E-09  .13284E-20 10( 0,10)P C-X  .68396E-04
 .14568910D+04  .43946E-11  .47684E-22  8( 0,10)R C-X  .29173E-05
 .15043000D+04  .90486E-12  .95087E-23 10( 0,11)P C-X  .51841E-06
 .14882400D+04  .95768E-10  .10172E-20  8( 0,11)R C-X  .66338E-04
 .15240390D+04  .24672E-09  .25591E-20 10( 0,12)P C-X  .14509E-03
 .15123620D+04  .22796E-09  .23827E-20  8( 0,12)R C-X  .16307E-03
 .10509080D+04  .56081E-10  .84358E-21 11( 0, 0)P C-X  .25712E-01
 .10278980D+04  .30867E-12  .47469E-23  9( 0, 0)R C-X  .16389E-03
 .10945620D+04  .48566E-10  .70140E-21 11( 0, 1)P C-X  .24155E-01
 .10708980D+04  .19986E-10  .29502E-21  9( 0, 1)R C-X  .11519E-01
 .11390260D+04  .17764E-10  .24654E-21 11( 0, 2)P C-X  .95677E-02
 .11147890D+04  .71796E-10  .10181E-20  9( 0, 2)R C-X  .44839E-01
 .11840760D+04  .19331E-10  .25808E-21 11( 0, 3)P C-X  .11252E-01
 .11593660D+04  .31599E-10  .43086E-21  9( 0, 3)R C-X  .21345E-01
 .12294020D+04  .17043E-10  .21914E-21 11( 0, 4)P C-X  .10694E-01
 .12043630D+04  .19964E-12  .26203E-23  9( 0, 4)R C-X  .14552E-03
 .12745970D+04  .13312E-13  .16510E-24 11( 0, 5)P C-X  .89783E-05
 .12494280D+04  .98909E-13  .12514E-23  9( 0, 5)R C-X  .77594E-04
 .13191350D+04  .34358E-11  .41173E-22 11( 0, 6)P C-X  .24820E-02
 .12940930D+04  .52899E-11  .64619E-22  9( 0, 6)R C-X  .44520E-02
 .13623280D+04  .12842E-11  .14901E-22 11( 0, 7)P C-X  .98945E-03
 .13377600D+04  .50043E-14  .59135E-25  9( 0, 7)R C-X  .45006E-05
 .14032960D+04  .15892E-11  .17902E-22 11( 0, 8)P C-X  .12992E-02
 .13796570D+04  .38465E-11  .44072E-22  9( 0, 8)R C-X  .36794E-02
 .14409180D+04  .33547E-11  .36804E-22 11( 0, 9)P C-X  .28916E-02
 .14188030D+04  .99559E-12  .11093E-22  9( 0, 9)R C-X  .10072E-02
 .14737270D+04  .22505E-12  .24140E-23 11( 0,10)P C-X  .20291E-03
 .14539440D+04  .94217E-12  .10244E-22  9( 0,10)R C-X  .10009E-02
 .14997970D+04  .38074E-12  .40130E-23 11( 0,11)P C-X  .35554E-03
 .14834770D+04  .26275E-11  .27999E-22  9( 0,11)R C-X  .29059E-02
 .15052700D+04  .30583E-11  .32117E-22  9( 0,12)R C-X  .34824E-02
 .10576300D+04  .36660E-11  .54794E-22 12( 0, 0)P C-X  .18765E-01
 .10328570D+04  .96495E-12  .14769E-22 10( 0, 0)R C-X  .56077E-02
 .11011010D+04  .75545E-11  .10846E-21 12( 0, 1)P C-X  .41912E-01
 .10756640D+04  .36671E-11  .53891E-22 10( 0, 1)R C-X  .23114E-01
 .11453120D+04  .56534E-11  .78030E-22 12( 0, 2)P C-X  .33934E-01
 .11192920D+04  .54431E-11  .76874E-22 10( 0, 2)R C-X  .37148E-01
 .11900110D+04  .22684E-11  .30133E-22 12( 0, 3)P C-X  .14700E-01
 .11635270D+04  .35243E-11  .47882E-22 10( 0, 3)R C-X  .25992E-01
 .12348710D+04  .64210E-12  .82197E-23 12( 0, 4)P C-X  .44805E-02
 .12080920D+04  .84143E-12  .11010E-22 10( 0, 4)R C-X  .66899E-02
 .12794620D+04  .72787E-13  .89930E-24 12( 0, 5)P C-X  .54525E-03
 .12526090D+04  .63427E-13  .80045E-24 10( 0, 5)R C-X  .54214E-03
 .13232200D+04  .43939E-14  .52492E-25 12( 0, 6)P C-X  .35204E-04
 .12965920D+04  .17567E-13  .21418E-24 10( 0, 6)R C-X  .16088E-03
 .13654250D+04  .28866E-15  .33419E-26 12( 0, 7)P C-X  .24627E-05
 .13394140D+04  .64057E-14  .75601E-25 10( 0, 7)R C-X  .62604E-04
 .14051350D+04  .92061E-14  .10357E-24 12( 0, 8)P C-X  .83175E-04
 .13802660D+04  .75289E-14  .86227E-25 10( 0, 8)R C-X  .78138E-04
 .14411640D+04  .31681E-14  .34751E-25 12( 0, 9)P C-X  .30110E-04
 .14181160D+04  .26099E-15  .29093E-26 10( 0, 9)R C-X  .28592E-05
 .14719390D+04  .66399E-15  .71309E-26 12( 0,10)P C-X  .65829E-05
 .14516540D+04  .71048E-14  .77368E-25 10( 0,10)R C-X  .81561E-04
 .14952940D+04  .20773E-14  .21961E-25 12( 0,11)P C-X  .21254E-04
 .14791590D+04  .44841E-14  .47922E-25 10( 0,11)R C-X  .53445E-04
 .14982400D+04  .52199E-14  .55076E-25 10( 0,12)R C-X  .63831E-04
 .10644980D+04  .73504E-13  .10915E-23 13( 0, 0)P C-X  .16550E-01
 .10380690D+04  .30327E-13  .46182E-24 11( 0, 0)R C-X  .76228E-02
 .11077420D+04  .17900E-12  .25544E-23 13( 0, 1)P C-X  .43645E-01
 .10806410D+04  .85133E-13  .12454E-23 11( 0, 1)R C-X  .23190E-01
 .11516400D+04  .14364E-12  .19716E-23 13( 0, 2)P C-X  .37853E-01
 .11239590D+04  .11080E-12  .15583E-23 11( 0, 2)R C-X  .32648E-01
 .11959190D+04  .49582E-13  .65539E-24 13( 0, 3)P C-X  .14091E-01
 .11678020D+04  .79355E-13  .10742E-23 11( 0, 3)R C-X  .25243E-01
 .12402310D+04  .11128E-13  .14184E-24 13( 0, 4)P C-X  .34011E-02
 .12118670D+04  .24532E-13  .32000E-24 11( 0, 4)R C-X  .84039E-02
 .12841160D+04  .22566E-14  .27779E-25 13( 0, 5)P C-X  .73936E-03
 .12557590D+04  .14662E-14  .18457E-25 11( 0, 5)R C-X  .53930E-03
 .13269820D+04  .34546E-18  .41153E-29 13( 0, 6)P C-X  .12087E-06
 .12989680D+04  .20888E-16  .25420E-27 11( 0, 6)R C-X  .82211E-05
 .13680530D+04  .19384E-15  .22398E-26 13( 0, 7)P C-X  .72086E-04
 .13408300D+04  .27908E-15  .32902E-26 11( 0, 7)R C-X  .11703E-03
 .14063450D+04  .15643E-15  .17583E-26 13( 0, 8)P C-X  .61475E-04
 .13804960D+04  .66377E-17  .76007E-28 11( 0, 8)R C-X  .29507E-05
 .14405660D+04  .20013E-17  .21961E-28 13( 0, 9)P C-X  .82522E-06
 .14168900D+04  .15881E-15  .17718E-26 11( 0, 9)R C-X  .74366E-04
 .14690080D+04  .11827E-15  .12727E-26 13( 0,10)P C-X  .50715E-04
 .14486020D+04  .16289E-15  .17775E-26 11( 0,10)R C-X  .79729E-04
 .14737820D+04  .13368E-16  .14339E-27 11( 0,11)R C-X  .67729E-05
 .10715320D+04  .26509E-16  .39107E-27 14( 0, 0)P C-X  .24173E-01
