element	sp_num	obs_wl_vac(nm)	ritz_wl_vac(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
N	4	""	"168.7804"	""	"1.42e+07"	C+	"516560.8"	"575809.4"	"1s2.2s.4f"	"3F*"	"3"	"1s2.2s.6g"	"3G"	"3"		"T5600c20,LS"	""	
N	4	""	"168.8123"	""	"2.17e+05"	C	"516572.0"	"575809.4"	"1s2.2s.4f"	"3F*"	"4"	"1s2.2s.6g"	"3G"	"3"		"T5600c20,LS"	""	
N	4	""	"168.8123"	""	"1.77e+08"	C+	"516572.0"	"575809.4"	"1s2.2s.4f"	"3F*"	"4"	"1s2.2s.6g"	"3G"	"5"		"T5600c20"	""	
N	4	""	"168.8123"	""	"1.11e+07"	C+	"516572.0"	"575809.4"	"1s2.2s.4f"	"3F*"	"4"	"1s2.2s.6g"	"3G"	"4"		"T5600c20,LS"	""	
N	5	""	"169.1389"	""	"6.95e+07"	B+	"673886.2"	"[733009.2]"	"1s2.5s"	"2S"	"1/2"	"1s2.7p"	"2P*"	"3/2"		"T5118LS"	""	
N	5	""	"169.1558"	""	"6.95e+07"	B+	"673886.2"	"[733003.3]"	"1s2.5s"	"2S"	"1/2"	"1s2.7p"	"2P*"	"1/2"		"T5118LS"	""	
N	3	""	"169.4786"	""	"7.59e+06"	B	"309691.8"	"368696.3"	"2s.2p.(3P*).3p"	"4D"	"3/2"	"2s.2p.(3P*).4s"	"4P*"	"5/2"		"T7192LS"	""	
N	3	""	"169.6560"	""	"6.81e+07"	B	"309753.5"	"368696.3"	"2s.2p.(3P*).3p"	"4D"	"5/2"	"2s.2p.(3P*).4s"	"4P*"	"5/2"		"T7192LS"	""	
N	4	""	"169.6828"	""	"2.35e+08"	C+	"495406.2"	"554339.7"	"1s2.2p.(2P*).3d"	"3F*"	"2"	"1s2.2s.5g"	"3G"	"3"		"T5600c20"	""	
N	3	""	"169.7156"	""	"1.89e+07"	B	"309656.2"	"368578.3"	"2s.2p.(3P*).3p"	"4D"	"1/2"	"2s.2p.(3P*).4s"	"4P*"	"3/2"		"T7192LS"	""	
